period,year,month,quarter,continentId,continentName,value,quantity
2021-01,2021,1,1,1A,ทวีปเอเชีย,208972197.0,778545.0
2021-01,2021,1,1,1C,ทวีปอเมริกาเหนือ,20821542.0,56858.0
2021-01,2021,1,1,1B,ทวีปยุโรป,6228555.0,23082.0
2021-01,2021,1,1,1F,ทวีปออสเตรเลีย,2326030.0,7326.0
2021-02,2021,2,1,1A,ทวีปเอเชีย,205579111.0,923679.0
2021-02,2021,2,1,1C,ทวีปอเมริกาเหนือ,16692849.0,76766.0
2021-02,2021,2,1,1B,ทวีปยุโรป,4793734.0,12130.0
2021-02,2021,2,1,1F,ทวีปออสเตรเลีย,1190176.0,3091.0
2021-03,2021,3,1,1A,ทวีปเอเชีย,346011059.0,1474087.0
2021-03,2021,3,1,1C,ทวีปอเมริกาเหนือ,10078706.0,20157.0
2021-03,2021,3,1,1F,ทวีปออสเตรเลีย,8508475.0,18845.0
2021-03,2021,3,1,1B,ทวีปยุโรป,770496.0,1656.0
2021-04,2021,4,2,1A,ทวีปเอเชีย,170842647.0,855995.0
2021-04,2021,4,2,1C,ทวีปอเมริกาเหนือ,24851278.0,97282.0
2021-04,2021,4,2,1F,ทวีปออสเตรเลีย,2818650.0,6966.0
2021-04,2021,4,2,1B,ทวีปยุโรป,1863029.0,3663.0
2021-05,2021,5,2,1A,ทวีปเอเชีย,748133968.0,3940371.0
2021-05,2021,5,2,1C,ทวีปอเมริกาเหนือ,69261225.0,281162.0
2021-05,2021,5,2,1F,ทวีปออสเตรเลีย,11615113.0,32665.0
2021-05,2021,5,2,1B,ทวีปยุโรป,4713103.0,12947.0
2021-06,2021,6,2,1A,ทวีปเอเชีย,478916774.0,2598585.0
2021-06,2021,6,2,1C,ทวีปอเมริกาเหนือ,109554882.0,518808.0
2021-06,2021,6,2,1F,ทวีปออสเตรเลีย,15426161.0,50719.0
2021-06,2021,6,2,1B,ทวีปยุโรป,3867256.0,11764.0
2021-07,2021,7,3,1A,ทวีปเอเชีย,989334382.0,5651634.0
2021-07,2021,7,3,1C,ทวีปอเมริกาเหนือ,98246175.0,408217.0
2021-07,2021,7,3,1F,ทวีปออสเตรเลีย,2456761.0,8399.0
2021-07,2021,7,3,1B,ทวีปยุโรป,2726862.0,5279.0
2021-08,2021,8,3,1A,ทวีปเอเชีย,1692785490.0,8693491.0
2021-08,2021,8,3,1C,ทวีปอเมริกาเหนือ,102521658.0,349635.0
2021-08,2021,8,3,1F,ทวีปออสเตรเลีย,43373293.0,123503.0
2021-08,2021,8,3,1B,ทวีปยุโรป,8720085.0,21362.0
2021-09,2021,9,3,1A,ทวีปเอเชีย,1208103024.0,7024319.0
2021-09,2021,9,3,1C,ทวีปอเมริกาเหนือ,99884636.0,252517.0
2021-09,2021,9,3,1F,ทวีปออสเตรเลีย,39850613.0,91944.0
2021-09,2021,9,3,1B,ทวีปยุโรป,6984726.0,16187.0
2021-09,2021,9,3,1D,ทวีปอเมริกาใต้,7151400.0,26100.0
2021-10,2021,10,4,1A,ทวีปเอเชีย,995287922.0,5584209.0
2021-10,2021,10,4,1C,ทวีปอเมริกาเหนือ,127361072.0,333936.0
2021-10,2021,10,4,1F,ทวีปออสเตรเลีย,25934602.0,66875.0
2021-10,2021,10,4,1B,ทวีปยุโรป,16849228.0,39790.0
2021-10,2021,10,4,1D,ทวีปอเมริกาใต้,0.0,0.0
2021-11,2021,11,4,1A,ทวีปเอเชีย,735274307.0,4574767.0
2021-11,2021,11,4,1C,ทวีปอเมริกาเหนือ,68738330.0,208485.0
2021-11,2021,11,4,1F,ทวีปออสเตรเลีย,20545246.0,42073.0
2021-11,2021,11,4,1B,ทวีปยุโรป,6860127.0,17370.0
2021-11,2021,11,4,1D,ทวีปอเมริกาใต้,0.0,0.0
2021-12,2021,12,4,1A,ทวีปเอเชีย,650790884.0,4327706.0
2021-12,2021,12,4,1C,ทวีปอเมริกาเหนือ,127104513.0,377712.0
2021-12,2021,12,4,1F,ทวีปออสเตรเลีย,15107589.0,33170.0
2021-12,2021,12,4,1B,ทวีปยุโรป,7300571.0,17104.0
2021-12,2021,12,4,1D,ทวีปอเมริกาใต้,0.0,0.0
2022-01,2022,1,1,1A,ทวีปเอเชีย,482556580.0,2808293.0
2022-01,2022,1,1,1C,ทวีปอเมริกาเหนือ,25278132.0,52149.0
2022-01,2022,1,1,1F,ทวีปออสเตรเลีย,7963553.0,17315.0
2022-01,2022,1,1,1B,ทวีปยุโรป,1872301.0,4583.0
2022-02,2022,2,1,1A,ทวีปเอเชีย,413534006.0,2246919.0
2022-02,2022,2,1,1C,ทวีปอเมริกาเหนือ,25597002.0,88944.0
2022-02,2022,2,1,1F,ทวีปออสเตรเลีย,4529042.0,15982.0
2022-02,2022,2,1,1B,ทวีปยุโรป,2544712.0,6293.0
2022-03,2022,3,1,1A,ทวีปเอเชีย,289307297.0,1642112.0
2022-03,2022,3,1,1C,ทวีปอเมริกาเหนือ,11800003.0,38977.0
