period,year,month,quarter,countryId,countryCode,countryName,continentId,continentName,value,quantity
2021-01,2021,1,1,302,CN,จีน,1A,ทวีปเอเชีย,208409550.0,776687.0
2021-01,2021,1,1,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,15688113.0,39038.0
2021-01,2021,1,1,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,5133429.0,17820.0
2021-01,2021,1,1,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,5002937.0,18392.0
2021-01,2021,1,1,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,2326030.0,7326.0
2021-01,2021,1,1,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,1075028.0,3981.0
2021-01,2021,1,1,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,562647.0,1858.0
2021-01,2021,1,1,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,109090.0,600.0
2021-01,2021,1,1,327,SE,สวีเดน,1B,ทวีปยุโรป,41500.0,109.0
2021-02,2021,2,1,302,CN,จีน,1A,ทวีปเอเชีย,196711350.0,898859.0
2021-02,2021,2,1,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,15659464.0,74095.0
2021-02,2021,2,1,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,7005436.0,16820.0
2021-02,2021,2,1,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,1033385.0,2671.0
2021-02,2021,2,1,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,270424.0,545.0
2021-02,2021,2,1,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,4071263.0,10858.0
2021-02,2021,2,1,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,385889.0,1276.0
2021-02,2021,2,1,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,1862325.0,8000.0
2021-02,2021,2,1,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,804287.0,1815.0
2021-02,2021,2,1,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,0.0,0.0
2021-02,2021,2,1,327,SE,สวีเดน,1B,ทวีปยุโรป,339666.0,545.0
2021-02,2021,2,1,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,112381.0,182.0
2021-02,2021,2,1,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,0.0,0.0
2021-03,2021,3,1,302,CN,จีน,1A,ทวีปเอเชีย,341606134.0,1461879.0
2021-03,2021,3,1,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,9187227.0,18174.0
2021-03,2021,3,1,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,8508475.0,18845.0
2021-03,2021,3,1,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,891479.0,1983.0
2021-03,2021,3,1,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,0.0,0.0
2021-03,2021,3,1,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,342316.0,545.0
2021-03,2021,3,1,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,384721.0,871.0
2021-03,2021,3,1,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,2644960.0,6750.0
2021-03,2021,3,1,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,1759965.0,5458.0
2021-03,2021,3,1,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,0.0,0.0
2021-03,2021,3,1,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,0.0,0.0
2021-03,2021,3,1,327,SE,สวีเดน,1B,ทวีปยุโรป,0.0,0.0
2021-03,2021,3,1,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,0.0,0.0
2021-03,2021,3,1,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,0.0,0.0
2021-03,2021,3,1,315,DE,เยอรมนี,1B,ทวีปยุโรป,43459.0,240.0
2021-04,2021,4,2,302,CN,จีน,1A,ทวีปเอเชีย,167100805.0,843876.0
2021-04,2021,4,2,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,20167442.0,83627.0
2021-04,2021,4,2,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,2579658.0,6486.0
2021-04,2021,4,2,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,4683836.0,13655.0
2021-04,2021,4,2,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,1483399.0,2649.0
2021-04,2021,4,2,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,0.0,0.0
2021-04,2021,4,2,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,379630.0,1014.0
2021-04,2021,4,2,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,3029094.0,7707.0
2021-04,2021,4,2,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,0.0,0.0
2021-04,2021,4,2,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,0.0,0.0
2021-04,2021,4,2,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,238992.0,480.0
2021-04,2021,4,2,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,712748.0,4412.0
2021-04,2021,4,2,327,SE,สวีเดน,1B,ทวีปยุโรป,0.0,0.0
2021-04,2021,4,2,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,0.0,0.0
2021-04,2021,4,2,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,0.0,0.0
2021-04,2021,4,2,315,DE,เยอรมนี,1B,ทวีปยุโรป,0.0,0.0
2021-05,2021,5,2,302,CN,จีน,1A,ทวีปเอเชีย,743576332.0,3922144.0
2021-05,2021,5,2,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,43247861.0,193724.0
2021-05,2021,5,2,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,26013364.0,87438.0
2021-05,2021,5,2,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,7923479.0,25577.0
2021-05,2021,5,2,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,3828424.0,9827.0
2021-05,2021,5,2,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,1472266.0,4335.0
2021-05,2021,5,2,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,0.0,0.0
2021-05,2021,5,2,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,477770.0,1243.0
2021-05,2021,5,2,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,3691634.0,7088.0
2021-05,2021,5,2,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,0.0,0.0
2021-05,2021,5,2,315,DE,เยอรมนี,1B,ทวีปยุโรป,2341414.0,6324.0
2021-05,2021,5,2,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,0.0,0.0
2021-05,2021,5,2,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,729212.0,8400.0
2021-05,2021,5,2,366,NO,นอร์เวย์,1B,ทวีปยุโรป,421653.0,1045.0
2021-05,2021,5,2,327,SE,สวีเดน,1B,ทวีปยุโรป,0.0,0.0
2021-05,2021,5,2,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,0.0,0.0
2021-05,2021,5,2,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,0.0,0.0
2021-06,2021,6,2,302,CN,จีน,1A,ทวีปเอเชีย,470130114.0,2562133.0
2021-06,2021,6,2,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,95633539.0,468496.0
2021-06,2021,6,2,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,13921343.0,50312.0
2021-06,2021,6,2,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,15426161.0,50719.0
2021-06,2021,6,2,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,1719072.0,4459.0
2021-06,2021,6,2,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,1040783.0,2225.0
2021-06,2021,6,2,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,2155283.0,7597.0
2021-06,2021,6,2,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,0.0,0.0
2021-06,2021,6,2,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,3330799.0,13853.0
2021-06,2021,6,2,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,0.0,0.0
2021-06,2021,6,2,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,1486422.0,12976.0
2021-06,2021,6,2,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,988266.0,2160.0
2021-06,2021,6,2,315,DE,เยอรมนี,1B,ทวีปยุโรป,0.0,0.0
2021-06,2021,6,2,308,MO,มาเก๊า,1A,ทวีปเอเชีย,1261401.0,3000.0
2021-06,2021,6,2,366,NO,นอร์เวย์,1B,ทวีปยุโรป,227364.0,1000.0
2021-06,2021,6,2,320,GB,สหราชอาณาจักร,1B,ทวีปยุโรป,443826.0,942.0
2021-06,2021,6,2,327,SE,สวีเดน,1B,ทวีปยุโรป,0.0,0.0
2021-06,2021,6,2,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,0.0,0.0
2021-06,2021,6,2,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,0.0,0.0
2021-06,2021,6,2,285,AE,สหรัฐอาหรับเอมิเรตส์,1A,ทวีปเอเชีย,700.0,4.0
2021-07,2021,7,3,302,CN,จีน,1A,ทวีปเอเชีย,981813568.0,5616487.0
2021-07,2021,7,3,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,87598971.0,368104.0
2021-07,2021,7,3,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,10647204.0,40113.0
2021-07,2021,7,3,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,704437.0,1272.0
2021-07,2021,7,3,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,5567197.0,17031.0
2021-07,2021,7,3,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,1157578.0,1920.0
2021-07,2021,7,3,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,0.0,0.0
2021-07,2021,7,3,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,0.0,0.0
2021-07,2021,7,3,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,1752324.0,7127.0
2021-07,2021,7,3,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,0.0,0.0
2021-07,2021,7,3,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,1953617.0,18116.0
2021-07,2021,7,3,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,0.0,0.0
2021-07,2021,7,3,315,DE,เยอรมนี,1B,ทวีปยุโรป,5537.0,19.0
2021-07,2021,7,3,320,GB,สหราชอาณาจักร,1B,ทวีปยุโรป,1151321.0,2179.0
2021-07,2021,7,3,308,MO,มาเก๊า,1A,ทวีปเอเชีย,0.0,0.0
2021-07,2021,7,3,327,SE,สวีเดน,1B,ทวีปยุโรป,412426.0,1161.0
2021-07,2021,7,3,366,NO,นอร์เวย์,1B,ทวีปยุโรป,0.0,0.0
2021-07,2021,7,3,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,0.0,0.0
2021-07,2021,7,3,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,0.0,0.0
2021-07,2021,7,3,285,AE,สหรัฐอาหรับเอมิเรตส์,1A,ทวีปเอเชีย,0.0,0.0
2021-08,2021,8,3,302,CN,จีน,1A,ทวีปเอเชีย,1681424458.0,8653632.0
2021-08,2021,8,3,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,88105755.0,303815.0
2021-08,2021,8,3,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,42860566.0,122522.0
2021-08,2021,8,3,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,14415903.0,45820.0
2021-08,2021,8,3,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,2351945.0,6744.0
2021-08,2021,8,3,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,1610305.0,3444.0
2021-08,2021,8,3,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,2435959.0,7026.0
2021-08,2021,8,3,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,2492342.0,7020.0
2021-08,2021,8,3,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,3105661.0,9000.0
2021-08,2021,8,3,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,2361084.0,12895.0
2021-08,2021,8,3,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,512727.0,981.0
2021-08,2021,8,3,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,1050000.0,4200.0
2021-08,2021,8,3,320,GB,สหราชอาณาจักร,1B,ทวีปยุโรป,2015750.0,3269.0
2021-08,2021,8,3,366,NO,นอร์เวย์,1B,ทวีปยุโรป,2651173.0,7610.0
2021-08,2021,8,3,315,DE,เยอรมนี,1B,ทวีปยุโรป,0.0,0.0
2021-08,2021,8,3,308,MO,มาเก๊า,1A,ทวีปเอเชีย,0.0,0.0
2021-08,2021,8,3,327,SE,สวีเดน,1B,ทวีปยุโรป,0.0,0.0
2021-08,2021,8,3,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,0.0,0.0
2021-08,2021,8,3,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,0.0,0.0
2021-08,2021,8,3,317,ES,สเปน,1B,ทวีปยุโรป,6898.0,13.0
2021-08,2021,8,3,285,AE,สหรัฐอาหรับเอมิเรตส์,1A,ทวีปเอเชีย,0.0,0.0
2021-09,2021,9,3,302,CN,จีน,1A,ทวีปเอเชีย,1204706704.0,7002083.0
2021-09,2021,9,3,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,84405586.0,206381.0
2021-09,2021,9,3,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,32959711.0,79833.0
2021-09,2021,9,3,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,15479050.0,46136.0
2021-09,2021,9,3,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,1351345.0,3972.0
2021-09,2021,9,3,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,3762787.0,6211.0
2021-09,2021,9,3,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,6890902.0,12111.0
2021-09,2021,9,3,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,2355269.0,7456.0
2021-09,2021,9,3,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,0.0,0.0
2021-09,2021,9,3,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,2037523.0,18252.0
2021-09,2021,9,3,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,0.0,0.0
2021-09,2021,9,3,410,CL,ชิลี,1D,ทวีปอเมริกาใต้,7151400.0,26100.0
2021-09,2021,9,3,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,7062.0,11.0
2021-09,2021,9,3,320,GB,สหราชอาณาจักร,1B,ทวีปยุโรป,0.0,0.0
2021-09,2021,9,3,366,NO,นอร์เวย์,1B,ทวีปยุโรป,0.0,0.0
2021-09,2021,9,3,315,DE,เยอรมนี,1B,ทวีปยุโรป,866670.0,2520.0
2021-09,2021,9,3,308,MO,มาเก๊า,1A,ทวีปเอเชีย,0.0,0.0
2021-09,2021,9,3,327,SE,สวีเดน,1B,ทวีปยุโรป,0.0,0.0
2021-09,2021,9,3,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,0.0,0.0
2021-09,2021,9,3,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,0.0,0.0
2021-09,2021,9,3,317,ES,สเปน,1B,ทวีปยุโรป,0.0,0.0
2021-09,2021,9,3,285,AE,สหรัฐอาหรับเอมิเรตส์,1A,ทวีปเอเชีย,0.0,0.0
2021-09,2021,9,3,273,SG,สิงคโปร์,1A,ทวีปเอเชีย,390.0,1.0
2021-10,2021,10,4,302,CN,จีน,1A,ทวีปเอเชีย,980950513.0,5527150.0
2021-10,2021,10,4,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,106575983.0,279802.0
2021-10,2021,10,4,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,25915471.0,66841.0
2021-10,2021,10,4,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,20785089.0,54134.0
2021-10,2021,10,4,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,9235730.0,24725.0
2021-10,2021,10,4,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,4817260.0,13006.0
2021-10,2021,10,4,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,3177960.0,8123.0
2021-10,2021,10,4,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,0.0,0.0
2021-10,2021,10,4,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,4272391.0,29126.0
2021-10,2021,10,4,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,3499350.0,11050.0
2021-10,2021,10,4,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,0.0,0.0
2021-10,2021,10,4,410,CL,ชิลี,1D,ทวีปอเมริกาใต้,0.0,0.0
2021-10,2021,10,4,315,DE,เยอรมนี,1B,ทวีปยุโรป,2206636.0,3269.0
2021-10,2021,10,4,320,GB,สหราชอาณาจักร,1B,ทวีปยุโรป,1700826.0,2692.0
2021-10,2021,10,4,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,680000.0,1620.0
2021-10,2021,10,4,366,NO,นอร์เวย์,1B,ทวีปยุโรป,0.0,0.0
2021-10,2021,10,4,308,MO,มาเก๊า,1A,ทวีปเอเชีย,0.0,0.0
2021-10,2021,10,4,285,AE,สหรัฐอาหรับเอมิเรตส์,1A,ทวีปเอเชีย,1068408.0,2257.0
2021-10,2021,10,4,327,SE,สวีเดน,1B,ทวีปยุโรป,183392.0,436.0
2021-10,2021,10,4,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,344684.0,545.0
2021-10,2021,10,4,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,0.0,0.0
2021-10,2021,10,4,493,NC,นิวแคลีโดเนีย,1F,ทวีปออสเตรเลีย,19131.0,34.0
2021-10,2021,10,4,317,ES,สเปน,1B,ทวีปยุโรป,0.0,0.0
2021-10,2021,10,4,273,SG,สิงคโปร์,1A,ทวีปเอเชีย,0.0,0.0
2021-11,2021,11,4,302,CN,จีน,1A,ทวีปเอเชีย,728123034.0,4531982.0
2021-11,2021,11,4,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,50311899.0,158776.0
2021-11,2021,11,4,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,20545246.0,42073.0
2021-11,2021,11,4,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,18426431.0,49709.0
2021-11,2021,11,4,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,579520.0,1090.0
2021-11,2021,11,4,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,582104.0,2296.0
2021-11,2021,11,4,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,3922506.0,9584.0
2021-11,2021,11,4,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,3215064.0,22684.0
2021-11,2021,11,4,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,0.0,0.0
2021-11,2021,11,4,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,338390.0,4864.0
2021-11,2021,11,4,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,3013000.0,12940.0
2021-11,2021,11,4,320,GB,สหราชอาณาจักร,1B,ทวีปยุโรป,2358101.0,6696.0
2021-11,2021,11,4,410,CL,ชิลี,1D,ทวีปอเมริกาใต้,0.0,0.0
2021-11,2021,11,4,315,DE,เยอรมนี,1B,ทวีปยุโรป,0.0,0.0
2021-11,2021,11,4,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,0.0,0.0
2021-11,2021,11,4,366,NO,นอร์เวย์,1B,ทวีปยุโรป,0.0,0.0
2021-11,2021,11,4,308,MO,มาเก๊า,1A,ทวีปเอเชีย,0.0,0.0
2021-11,2021,11,4,285,AE,สหรัฐอาหรับเอมิเรตส์,1A,ทวีปเอเชีย,0.0,0.0
2021-11,2021,11,4,327,SE,สวีเดน,1B,ทวีปยุโรป,0.0,0.0
2021-11,2021,11,4,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,0.0,0.0
2021-11,2021,11,4,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,0.0,0.0
