period,year,month,quarter,value,quantity,ytdValue,ytdQuantity
2021-01,2021,1,1,238348324.0,865811.0,238348324.0,865811.0
2021-02,2021,2,1,228255870.0,1015666.0,466604194.0,1881477.0
2021-03,2021,3,1,365368736.0,1514745.0,831972930.0,3396222.0
2021-04,2021,4,2,200375604.0,963906.0,1032348534.0,4360128.0
2021-05,2021,5,2,833723409.0,4267145.0,1866071943.0,8627273.0
2021-06,2021,6,2,607765073.0,3179876.0,2473837016.0,11807149.0
2021-07,2021,7,3,1092764180.0,6073529.0,3566601196.0,17880678.0
2021-08,2021,8,3,1847400526.0,9187991.0,5414001722.0,27068669.0
2021-09,2021,9,3,1361974399.0,7411067.0,6775976121.0,34479736.0
2021-10,2021,10,4,1165432824.0,6024810.0,7941408945.0,40504546.0
2021-11,2021,11,4,831418010.0,4842695.0,8772826955.0,45347241.0
2021-12,2021,12,4,800303557.0,4755692.0,9573130512.0,50102933.0
2022-01,2022,1,1,517670566.0,2882340.0,517670566.0,2882340.0
2022-02,2022,2,1,446204762.0,2358138.0,963875328.0,5240478.0
2022-03,2022,3,1,306813577.0,1691364.0,1270688905.0,6931842.0
2022-04,2022,4,2,203297927.0,1173090.0,1473986832.0,8104932.0
2022-05,2022,5,2,605552618.0,3030581.0,2079539450.0,11135513.0
2022-06,2022,6,2,2738535365.0,15527505.0,4818074815.0,26663018.0
2022-07,2022,7,3,2777407944.0,16300271.0,7595482759.0,42963289.0
2022-08,2022,8,3,1850415573.0,10658295.0,9445898332.0,53621584.0
2022-09,2022,9,3,2297586960.0,14513860.0,11743485292.0,68135444.0
2022-10,2022,10,4,1604515708.0,10438854.0,13348001000.0,78574298.0
2022-11,2022,11,4,884257841.0,4875176.0,14232258841.0,83449474.0
2022-12,2022,12,4,731180839.0,4112436.0,14963439680.0,87561910.0
2023-01,2023,1,1,441449955.0,2040796.0,441449955.0,2040796.0
2023-02,2023,2,1,639294812.0,3787132.0,1080744767.0,5827928.0
2023-03,2023,3,1,618380722.0,3588273.0,1699125489.0,9416201.0
2023-04,2023,4,2,1504160234.0,6374541.0,3203285723.0,15790742.0
2023-05,2023,5,2,1525764630.0,6358824.0,4729050353.0,22149566.0
2023-06,2023,6,2,1579452378.0,6732625.0,6308502731.0,28882191.0
2023-07,2023,7,3,3357354962.0,14494091.0,9665857693.0,43376282.0
2023-08,2023,8,3,2644582168.0,11174275.0,12310439861.0,54550557.0
2023-09,2023,9,3,5098408974.0,21476882.0,17408848835.0,76027439.0
2023-10,2023,10,4,3087071913.0,13644352.0,20495920748.0,89671791.0
2023-11,2023,11,4,1434153437.0,6073811.0,21930074185.0,95745602.0
2023-12,2023,12,4,933726112.0,3916568.0,22863800297.0,99662170.0
2024-01,2024,1,1,836144741.0,3386714.0,836144741.0,3386714.0
2024-02,2024,2,1,517180627.0,2504016.0,1353325368.0,5890730.0
2024-03,2024,3,1,1044671808.0,4611336.0,2397997176.0,10502066.0
2024-04,2024,4,2,1006580913.0,4219435.0,3404578089.0,14721501.0
2024-05,2024,5,2,1615341885.0,6219998.0,5019919974.0,20941499.0
2024-06,2024,6,2,1789749390.0,6972815.0,6809669364.0,27914314.0
2024-07,2024,7,3,1932325028.0,7091664.0,8741994392.0,35005978.0
2024-08,2024,8,3,3881009047.0,15392269.0,12623003439.0,50398247.0
2024-09,2024,9,3,3227289844.0,14266689.0,15850293283.0,64664936.0
2024-10,2024,10,4,2590073076.0,12354972.0,18440366359.0,77019908.0
2024-11,2024,11,4,2622898004.0,12357430.0,21063264363.0,89377338.0
2024-12,2024,12,4,1629851304.0,7637142.0,22693115667.0,97014480.0
2025-01,2025,1,1,1321645725.0,5424150.0,1321645725.0,5424150.0
2025-02,2025,2,1,127990419.0,394847.0,1449636144.0,5818997.0
2025-03,2025,3,1,1531877593.0,5574185.0,2981513737.0,11393182.0
2025-04,2025,4,2,1445465673.0,4983595.0,4426979410.0,16376777.0
2025-05,2025,5,2,1797943703.0,6228209.0,6224923113.0,22604986.0
2025-06,2025,6,2,2502191687.0,9846222.0,8727114800.0,32451208.0
2025-07,2025,7,3,3382240847.0,14790601.0,12109355647.0,47241809.0
2025-08,2025,8,3,2321943698.0,10859862.0,14431299345.0,58101671.0
2025-09,2025,9,3,871835112.0,3794764.0,15303134457.0,61896435.0
2025-10,2025,10,4,599703452.0,2712467.0,15902837909.0,64608902.0
2025-11,2025,11,4,703331750.0,3154686.0,16606169659.0,67763588.0
2025-12,2025,12,4,476584633.0,1986530.0,17082754292.0,69750118.0
2026-01,2026,1,1,439202496.0,2371032.0,439202496.0,2371032.0
2026-02,2026,2,1,485897298.0,2496616.0,925099794.0,4867648.0
2026-03,2026,3,1,445340898.0,2109752.0,1370440692.0,6977400.0
2026-04,2026,4,2,279085650.0,1101346.0,1649526342.0,8078746.0
2026-05,2026,5,2,715943515.0,3001118.0,2365469857.0,11079864.0
2026-06,2026,6,2,1543505889.0,6463232.0,3908975746.0,17543096.0
2026-07,2026,7,3,3058586148.0,12853091.0,6967561894.0,30396187.0
